area_sqft,bedrooms,bathrooms,floors,house_age,city_distance_km,location_type,parking,price
599,2,1.5,3,5,34.2,Suburban,Yes,10097014.0
2887,5,2.7,2,26,16.1,Urban,Yes,45288836.0
2720,4,2.0,3,44,12.6,Urban,Yes,42954026.0
1092,2,2.1,2,28,13.7,Suburban,Yes,17481855.0
3035,4,2.1,3,18,5.6,Suburban,Yes,47530225.0
3863,6,3.4,1,9,11.1,Rural,Yes,58461118.0
923,2,1.3,2,0,3.9,Suburban,Yes,15597150.0
3393,5,3.2,2,7,15.5,Suburban,Yes,53069371.0
1061,2,1.0,2,42,6.7,Urban,Yes,17944734.0
3495,6,3.7,1,6,12.8,Urban,Yes,55913005.0
2176,3,2.6,1,0,28.0,Rural,No,32298333.0
526,2,1.0,3,36,9.4,Urban,Yes,9938403.0
4364,7,3.9,1,18,21.8,Suburban,Yes,67484723.0
1163,2,1.8,2,16,31.6,Urban,Yes,18430969.0
2884,4,2.8,2,32,20.3,Urban,No,45202557.0
1225,1,1.0,2,23,7.6,Suburban,No,19689527.0
4232,6,3.1,1,41,12.7,Suburban,Yes,64633640.0
3453,6,3.5,1,21,21.1,Suburban,Yes,52896787.0
3717,5,3.2,1,32,18.2,Rural,Yes,55216664.0
2228,4,3.2,1,39,6.1,Urban,Yes,35705275.0
2369,3,1.4,1,20,16.2,Suburban,Yes,35715332.0
3037,5,3.2,1,12,19.5,Urban,Yes,47556738.0
3639,6,4.2,1,43,10.1,Suburban,No,55887430.0
3887,7,3.4,3,10,21.8,Urban,No,61256107.0
571,1,1.2,2,1,3.4,Suburban,Yes,10282391.0
3154,6,3.3,1,26,12.4,Urban,No,49916455.0
936,2,1.5,2,44,28.3,Suburban,Yes,14473836.0
1651,3,2.1,1,3,9.8,Suburban,Yes,27431349.0
3817,6,4.4,2,38,21.6,Rural,No,57405411.0
1502,3,2.2,1,37,14.9,Urban,Yes,24891561.0
3687,6,2.7,1,41,11.8,Rural,Yes,55608585.0
2352,5,2.9,1,18,32.1,Urban,Yes,37746768.0
1430,2,1.4,2,11,12.7,Urban,Yes,23244397.0
1836,4,2.5,2,23,9.0,Urban,Yes,30381215.0
2623,4,2.8,2,6,31.9,Urban,Yes,41376158.0
3560,5,3.6,2,37,26.4,Suburban,Yes,53891513.0
2924,4,2.9,3,29,24.2,Urban,Yes,45885349.0
4232,7,4.4,3,21,2.7,Urban,Yes,67338071.0
3970,7,3.6,2,23,5.5,Suburban,No,61654516.0
3513,5,3.0,2,32,22.7,Suburban,Yes,53393475.0
2912,4,2.8,2,23,8.1,Suburban,Yes,44910721.0
1659,2,1.0,1,37,8.7,Suburban,No,25611834.0
2150,3,2.3,2,41,27.5,Urban,No,33187380.0
975,1,1.1,1,42,10.7,Suburban,Yes,14579724.0
1996,2,1.4,3,27,3.4,Urban,No,31748041.0
4205,7,3.0,2,33,2.2,Urban,No,64747615.0
2203,4,2.0,3,13,16.1,Urban,Yes,35805217.0
954,4,3.5,3,1,22.0,Suburban,No,16733729.0
3107,4,2.3,2,18,30.5,Urban,No,47439990.0
4350,7,3.6,3,39,4.8,Suburban,Yes,67844470.0
3969,6,4.5,2,6,7.7,Urban,Yes,62420831.0
1596,2,1.3,1,24,19.0,Suburban,No,24493877.0
2315,4,3.2,1,8,13.4,Suburban,No,37294719.0
2624,4,2.7,1,19,17.4,Urban,Yes,41961971.0
1491,2,1.5,3,6,32.4,Urban,No,23848508.0
1574,2,1.5,2,33,19.5,Suburban,No,23315669.0
1446,1,1.0,1,36,15.1,Suburban,No,20853872.0
4478,6,5.0,2,34,34.6,Urban,No,68038602.0
3484,6,4.4,1,31,3.2,Suburban,Yes,54036450.0
3863,6,3.1,3,10,32.7,Urban,Yes,59798304.0
3766,5,3.5,3,23,18.1,Urban,Yes,58611959.0
4336,7,5.0,1,4,18.1,Urban,Yes,68081789.0
921,2,1.9,3,16,32.3,Suburban,Yes,15098245.0
4026,6,3.7,2,22,18.2,Urban,No,61827592.0
766,1,1.2,1,30,15.9,Suburban,No,11466190.0
2401,5,3.7,3,4,10.3,Urban,Yes,39760048.0
2877,6,5.0,1,36,23.4,Suburban,No,44259732.0
1931,3,1.6,1,20,20.4,Urban,Yes,31541091.0
1084,2,1.0,1,39,8.3,Suburban,Yes,17199911.0
1269,3,1.8,2,23,25.1,Suburban,Yes,19438185.0
3798,7,4.3,2,24,22.9,Urban,Yes,59819382.0
1774,3,1.5,1,31,14.5,Urban,Yes,28623549.0
1741,3,1.0,1,36,1.1,Suburban,No,26915992.0
4193,7,4.3,1,7,16.2,Rural,Yes,63556071.0
1075,1,1.0,3,23,1.2,Rural,Yes,17610225.0
4161,7,4.3,3,1,3.5,Urban,Yes,66006052.0
4183,5,4.2,3,21,15.6,Suburban,Yes,64513647.0
2894,4,2.6,2,36,3.8,Urban,No,45419423.0
1162,3,2.6,2,38,10.4,Urban,No,19836565.0
1123,2,1.4,3,12,23.3,Suburban,Yes,18948986.0
1638,4,3.0,2,17,11.5,Suburban,Yes,27078737.0
2809,4,2.7,2,24,34.9,Suburban,Yes,42323301.0
1114,1,1.3,1,17,32.2,Suburban,Yes,17342297.0
2322,3,2.0,2,8,20.9,Urban,Yes,36659205.0
961,2,1.5,1,13,33.9,Suburban,Yes,15096301.0
2661,4,2.8,1,18,30.5,Urban,Yes,40929612.0
584,2,1.2,3,23,11.8,Urban,Yes,10953423.0
3336,5,3.5,3,41,26.5,Urban,Yes,51726124.0
721,1,1.8,1,24,5.7,Rural,Yes,11452739.0
1279,1,1.0,1,17,24.3,Suburban,Yes,18736824.0
1198,2,1.5,1,29,17.7,Urban,Yes,19847379.0
3823,6,4.5,3,34,1.6,Suburban,Yes,59263557.0
713,1,1.2,1,19,10.3,Rural,Yes,11551760.0
2217,3,2.0,1,22,33.5,Rural,Yes,32389116.0
2864,4,1.4,1,9,11.7,Suburban,No,43414970.0
2563,4,2.9,3,38,7.2,Urban,No,40615212.0
3222,6,2.8,2,39,7.4,Suburban,Yes,49577894.0
3712,6,4.6,3,7,17.3,Suburban,No,58308425.0
2074,3,2.0,3,15,29.7,Rural,No,30825839.0
3812,4,3.1,1,12,26.8,Suburban,Yes,57610146.0
1771,2,1.0,3,41,15.9,Suburban,Yes,27312010.0
4437,7,3.8,2,2,8.1,Urban,Yes,69528074.0
2518,3,2.1,2,9,2.6,Suburban,Yes,39069681.0
3444,6,3.9,1,14,16.7,Urban,No,54264358.0
4000,6,3.7,3,25,28.7,Urban,Yes,61523748.0
3670,7,4.6,3,11,25.8,Suburban,Yes,56842395.0
3904,6,5.0,2,24,14.9,Suburban,Yes,60814740.0
2646,4,3.0,1,33,21.2,Rural,Yes,39774879.0
673,1,1.2,3,37,15.8,Suburban,Yes,10392677.0
2472,4,3.0,3,4,20.7,Rural,Yes,37871989.0
1225,3,2.7,2,6,18.6,Suburban,Yes,20032621.0
4056,4,2.5,2,4,24.2,Suburban,No,62030944.0
1446,1,1.0,1,40,18.3,Urban,Yes,22886105.0
1412,2,1.2,1,29,33.0,Suburban,Yes,20928620.0
1497,2,1.7,3,23,15.6,Urban,No,24516588.0
3070,5,2.8,2,35,1.5,Urban,Yes,48107716.0
2784,5,3.2,1,26,9.0,Urban,Yes,44095309.0
4295,6,3.6,3,10,18.0,Suburban,No,65910688.0
2165,4,3.4,1,22,19.4,Suburban,Yes,34117204.0
1629,3,2.3,1,31,19.8,Rural,Yes,24385043.0
697,1,1.0,1,1,25.3,Rural,Yes,10649506.0
528,2,1.6,2,27,10.3,Rural,Yes,8708651.0
1994,3,1.9,2,22,23.6,Urban,Yes,31614190.0
4203,6,4.0,1,3,24.9,Rural,Yes,63466434.0
2595,5,2.7,2,11,15.0,Suburban,Yes,40773681.0
4074,6,2.8,2,20,14.7,Rural,Yes,61735972.0
906,1,1.0,2,15,7.1,Urban,Yes,16133667.0
873,3,2.1,2,13,15.1,Urban,Yes,16157562.0
3833,4,3.2,3,29,27.8,Rural,Yes,56450531.0
926,1,1.4,3,18,31.9,Urban,No,14587682.0
707,1,1.4,1,22,21.2,Urban,Yes,12376597.0
2116,3,1.5,3,35,11.2,Suburban,Yes,33493853.0
4199,6,3.7,2,4,24.2,Urban,Yes,65527687.0
3257,4,2.8,1,16,26.2,Urban,Yes,50200849.0
896,1,1.9,2,3,12.3,Rural,Yes,14396353.0
3848,5,4.0,3,41,29.1,Rural,No,56466230.0
3874,7,5.0,3,8,3.5,Rural,Yes,61087024.0
3702,7,4.4,2,36,1.4,Urban,Yes,58936167.0
4110,6,3.5,1,8,5.2,Urban,Yes,64337344.0
1459,2,1.7,1,14,6.3,Urban,No,23895842.0
4418,6,3.3,1,27,30.9,Suburban,Yes,66350034.0
1782,1,1.0,3,37,15.4,Urban,Yes,28500451.0
3708,6,3.8,2,8,10.3,Suburban,No,57500392.0
2817,4,3.4,2,9,15.6,Rural,No,42865215.0
3617,5,3.1,3,39,14.4,Suburban,Yes,55607877.0
3011,3,1.0,3,14,11.2,Urban,No,46461755.0
3069,4,2.9,3,9,5.7,Urban,No,48822269.0
2965,5,2.9,1,33,23.3,Urban,Yes,46297396.0
3615,6,3.9,2,4,5.6,Urban,No,56766965.0
3456,6,3.9,3,39,27.4,Suburban,Yes,53078913.0
1038,1,1.0,3,39,7.9,Urban,Yes,17364607.0
3804,7,4.9,1,38,25.9,Suburban,Yes,58338685.0
2644,3,1.2,2,13,28.4,Suburban,No,39757233.0
1792,3,1.7,3,5,5.3,Urban,Yes,30222026.0
2556,4,2.9,1,19,3.9,Urban,Yes,41704004.0
4367,6,3.6,2,15,33.3,Urban,Yes,66674122.0
3930,6,3.1,1,43,16.7,Urban,Yes,60393631.0
3834,6,4.2,3,28,22.4,Suburban,No,58958178.0
2351,4,3.2,1,42,1.8,Suburban,No,36652317.0
3636,5,3.2,1,33,10.5,Rural,Yes,54913732.0
2040,4,1.6,1,32,18.2,Suburban,No,32384710.0
3244,6,4.3,1,5,31.1,Urban,No,51174161.0
3058,4,1.8,2,3,10.2,Urban,Yes,48979522.0
1499,3,2.1,1,2,27.4,Urban,Yes,24596518.0
1565,4,2.2,2,26,23.5,Urban,Yes,25306689.0
744,3,1.4,2,9,4.9,Rural,Yes,12634757.0
1059,1,1.0,2,44,11.0,Suburban,Yes,16669882.0
2234,3,1.9,3,5,9.1,Urban,Yes,36581873.0
2411,5,2.9,2,42,16.0,Urban,No,38224963.0
1160,1,1.0,2,30,22.6,Urban,Yes,18494345.0
2167,2,1.1,3,4,15.7,Rural,No,32361889.0
2916,4,3.1,1,2,9.3,Urban,No,46150464.0
1430,3,2.1,3,17,24.7,Urban,Yes,24143614.0
1852,3,1.6,3,15,20.9,Urban,Yes,30416527.0
1970,3,1.5,1,14,18.7,Suburban,No,29782791.0
2520,3,1.1,1,23,19.9,Suburban,No,38181254.0
1965,2,1.4,2,5,8.5,Suburban,Yes,30720675.0
3447,5,3.1,1,5,24.1,Urban,Yes,54112315.0
1809,5,2.1,2,31,14.2,Urban,Yes,29763715.0
2235,4,2.3,3,44,13.4,Rural,No,34181305.0
2017,4,2.1,2,12,6.1,Urban,No,32842166.0
1231,2,2.1,1,41,21.3,Urban,Yes,19851275.0
3242,5,2.4,1,15,21.5,Suburban,Yes,49996967.0
1441,2,1.0,3,15,12.6,Urban,Yes,23582019.0
1687,1,1.2,1,4,30.2,Urban,No,26070314.0
3671,5,3.9,2,19,29.7,Suburban,No,55536137.0
4295,5,2.9,3,22,4.7,Suburban,No,65404884.0
3183,3,1.6,1,29,24.6,Urban,Yes,48260425.0
4165,5,3.6,2,7,14.4,Urban,Yes,65458107.0
3916,7,3.4,2,8,35.0,Suburban,Yes,59882652.0
2423,4,1.7,1,19,8.7,Urban,Yes,38962984.0
3581,7,4.4,2,3,10.5,Urban,Yes,57715068.0
1813,3,2.7,2,6,16.0,Suburban,No,28095859.0
2341,4,2.4,1,28,10.1,Suburban,Yes,36713926.0
2641,3,2.0,3,42,24.5,Rural,Yes,38277419.0
4341,7,5.0,2,25,17.4,Urban,No,67796341.0
3894,7,5.0,1,6,8.5,Urban,Yes,61841764.0
2457,3,1.7,3,44,18.2,Suburban,Yes,37295865.0
3110,5,3.2,3,23,31.2,Suburban,No,46798174.0
1309,2,2.2,1,32,27.9,Urban,Yes,20935772.0
3717,5,2.5,1,8,18.0,Suburban,Yes,57379628.0
2712,3,2.5,2,26,10.8,Urban,Yes,42301266.0
2630,3,1.4,2,3,7.1,Suburban,No,40463575.0
3565,6,4.0,3,28,30.9,Suburban,Yes,54911279.0
3031,5,3.1,2,9,25.1,Urban,Yes,48119128.0
789,1,1.0,2,40,20.5,Rural,Yes,10144119.0
1652,3,1.5,1,2,30.9,Rural,Yes,25781133.0
1206,2,1.4,2,29,5.1,Urban,No,20314649.0
3439,6,4.4,3,6,24.2,Urban,Yes,55034713.0
640,2,1.2,2,30,8.4,Suburban,Yes,11046607.0
1309,3,2.0,2,22,5.1,Urban,Yes,21719391.0
2889,4,2.9,1,43,16.8,Urban,Yes,45068525.0
3279,6,3.4,3,29,14.2,Urban,Yes,51748765.0
2513,3,2.3,1,16,33.0,Rural,Yes,37327269.0
3942,7,5.0,1,3,12.0,Urban,Yes,62598540.0
4175,6,5.0,1,26,28.7,Suburban,Yes,63663218.0
1028,1,1.0,3,19,26.5,Urban,No,16280252.0
4310,5,3.0,2,2,23.7,Urban,No,66706575.0
2957,4,3.0,3,26,32.3,Rural,Yes,43589129.0
3044,3,2.4,2,9,14.9,Urban,Yes,48736706.0
880,2,1.0,2,10,14.2,Urban,Yes,16730677.0
2987,6,3.7,2,0,6.5,Urban,Yes,49467215.0
3402,5,3.5,1,16,10.4,Suburban,Yes,53300166.0
2823,5,2.8,2,9,30.9,Urban,No,44189653.0
837,1,1.0,3,3,17.1,Urban,No,15195246.0
2592,3,2.0,3,19,12.6,Urban,Yes,41057521.0
4243,7,5.0,2,9,8.3,Urban,No,66191817.0
3393,5,2.9,3,6,17.5,Urban,Yes,54361941.0
1049,3,1.0,3,21,25.4,Suburban,Yes,17525671.0
4339,6,2.9,2,2,10.7,Urban,Yes,67917997.0
4335,7,3.9,2,44,26.8,Urban,Yes,66094567.0
1177,2,1.0,1,21,22.4,Suburban,No,17705910.0
3703,6,3.8,1,44,27.8,Suburban,Yes,55198384.0
2126,3,1.4,3,39,9.5,Urban,Yes,34247286.0
2874,4,2.2,1,44,22.5,Urban,Yes,43406511.0
2280,3,1.6,2,24,6.2,Urban,No,36226674.0
3630,5,3.0,3,19,13.4,Rural,Yes,54798538.0
4486,7,5.0,1,32,25.6,Urban,Yes,68617783.0
3680,6,4.2,3,3,22.5,Urban,Yes,58428260.0
4225,7,4.6,2,37,7.4,Urban,No,65701490.0
4284,7,4.3,1,14,30.2,Urban,Yes,66828785.0
860,2,1.1,1,0,2.8,Urban,Yes,15443978.0
1513,2,1.5,3,10,21.2,Urban,No,24207308.0
3387,6,4.2,3,10,34.4,Suburban,Yes,51416261.0
2860,4,2.1,3,0,19.1,Suburban,Yes,43666844.0
700,1,1.0,3,30,28.2,Suburban,Yes,11774787.0
880,1,1.0,1,4,21.2,Suburban,Yes,15123219.0
2582,5,3.4,3,38,27.6,Urban,Yes,40821527.0
2964,5,3.6,1,20,23.3,Rural,Yes,44480677.0
1170,2,1.2,1,32,24.5,Suburban,Yes,17753698.0
1185,3,2.9,3,15,8.7,Suburban,Yes,20658208.0
1017,1,1.0,2,5,26.2,Suburban,Yes,15884625.0
2759,3,2.1,2,8,9.1,Urban,No,43554235.0
531,1,1.0,3,29,34.3,Urban,Yes,9179160.0
2789,4,2.5,1,32,8.7,Urban,Yes,43597134.0
2403,4,2.5,2,12,9.0,Urban,Yes,38706713.0
2363,3,2.0,3,16,30.2,Suburban,No,36001094.0
3217,5,3.7,2,42,9.3,Urban,Yes,50098300.0
2590,6,4.6,2,38,13.3,Urban,Yes,42103678.0
3410,6,3.9,2,18,25.3,Rural,Yes,51640189.0
3555,6,4.3,3,10,6.4,Suburban,Yes,56182015.0
4180,6,3.5,1,13,6.4,Suburban,No,64845983.0
3696,5,3.6,3,24,17.5,Urban,No,57339314.0
2570,2,1.0,3,25,9.3,Suburban,No,39388312.0
2468,4,3.1,3,8,9.0,Rural,Yes,37695585.0
1442,3,3.1,2,2,1.3,Suburban,Yes,24292737.0
2898,3,1.9,2,22,13.6,Suburban,Yes,44328260.0
1056,1,1.0,2,35,11.8,Suburban,No,17021899.0
4224,6,3.6,1,6,2.1,Urban,No,65263822.0
3880,5,3.9,3,18,22.1,Suburban,No,59168506.0
978,2,1.6,2,7,22.3,Rural,Yes,15869910.0
3643,4,2.7,3,10,3.4,Urban,No,56731441.0
968,2,1.8,1,27,11.8,Urban,Yes,16558623.0
3384,6,4.1,3,12,30.7,Urban,No,53227883.0
850,1,1.3,2,11,20.8,Urban,Yes,14814429.0
2452,2,1.8,3,44,15.0,Rural,Yes,36860597.0
3131,4,3.4,1,7,16.8,Suburban,Yes,48621713.0
3415,6,4.1,2,8,8.1,Urban,No,54998798.0
2174,1,1.1,2,41,28.6,Urban,Yes,32615796.0
4186,6,3.7,2,24,32.1,Urban,Yes,64085564.0
3597,5,2.9,1,1,32.0,Urban,Yes,55702925.0
1333,3,2.8,2,19,8.6,Suburban,Yes,21587704.0
3184,4,2.7,1,25,11.6,Suburban,No,48652380.0
3422,6,4.3,2,11,6.5,Suburban,Yes,53812355.0
1834,3,2.0,1,24,11.4,Urban,Yes,29367895.0
3452,7,4.3,2,29,12.3,Suburban,No,53903796.0
4093,6,3.9,2,11,22.5,Suburban,Yes,62440828.0
3768,6,4.6,1,36,7.4,Urban,Yes,59447926.0
3550,4,2.9,3,20,32.3,Suburban,Yes,53541148.0
3037,6,3.0,3,43,4.5,Suburban,Yes,48071093.0
1582,2,1.2,1,3,1.2,Suburban,Yes,25417868.0
3680,5,4.1,1,14,30.1,Urban,Yes,57298159.0
1956,3,1.8,3,32,24.9,Urban,Yes,31061003.0
2628,3,1.0,1,40,13.1,Suburban,No,39560556.0
1757,3,2.9,3,9,21.2,Urban,No,28789576.0
1752,3,2.3,2,44,8.6,Urban,No,27226271.0
1130,2,1.3,2,8,6.7,Suburban,Yes,19335557.0
4345,5,3.1,1,18,17.0,Urban,Yes,66843043.0
1091,2,1.8,2,14,13.0,Suburban,No,18010782.0
845,2,1.0,1,19,21.9,Rural,No,12639311.0
4244,5,3.8,2,40,8.4,Suburban,Yes,64293217.0
2720,3,2.2,2,32,23.5,Suburban,Yes,40713342.0
2251,4,2.7,1,35,27.1,Suburban,Yes,34640210.0
3449,6,4.0,2,11,6.7,Urban,Yes,55066638.0
2033,3,1.9,2,42,2.5,Urban,Yes,33040893.0
1011,3,2.5,3,19,15.9,Suburban,Yes,17167510.0
3418,6,3.5,1,29,27.3,Urban,No,53240934.0
1203,2,1.0,3,31,23.1,Urban,Yes,19857787.0
2711,6,4.2,3,29,24.9,Urban,Yes,43623289.0
4296,6,4.2,3,27,14.7,Suburban,Yes,65888295.0
4244,6,4.1,3,21,9.0,Urban,No,66330592.0
1943,3,2.2,2,29,19.1,Suburban,No,30308084.0
3621,6,3.7,3,40,7.9,Urban,Yes,56982303.0
2950,4,3.0,3,17,25.7,Suburban,Yes,45672628.0
2417,3,1.9,2,22,7.7,Urban,Yes,38509962.0
1059,3,1.7,1,8,10.9,Urban,No,18509772.0
2005,3,1.8,2,15,18.2,Suburban,Yes,32109635.0
3107,4,3.6,3,34,17.5,Suburban,No,47935279.0
4446,7,3.7,3,28,21.4,Urban,Yes,69069932.0
519,1,1.0,2,9,15.9,Urban,Yes,10220204.0
3371,5,2.4,1,24,32.3,Urban,Yes,51491058.0
3885,6,3.8,3,36,29.6,Urban,Yes,59971463.0
4304,6,3.7,1,5,30.9,Suburban,Yes,65733429.0
2195,4,1.6,1,2,22.4,Urban,Yes,35629476.0
973,3,2.1,2,17,22.6,Suburban,No,16186449.0
1583,3,1.8,3,29,21.7,Urban,Yes,25284933.0
3902,6,2.9,1,14,15.8,Suburban,No,60079042.0
4011,6,4.3,2,36,12.0,Urban,Yes,62505552.0
3048,4,3.3,1,38,21.1,Suburban,Yes,45763654.0
990,1,1.4,2,23,1.9,Urban,No,17516573.0
987,1,1.0,1,17,1.3,Rural,No,15643376.0
2412,4,2.6,2,1,30.0,Suburban,Yes,37718686.0
2853,3,2.6,2,36,2.6,Suburban,No,43884257.0
629,2,2.1,1,40,18.8,Urban,Yes,11518252.0
3244,5,3.8,1,19,21.9,Urban,Yes,51468297.0
2678,4,2.1,3,23,7.7,Urban,Yes,43119231.0
549,1,1.0,1,33,31.5,Urban,Yes,8502040.0
882,2,1.5,1,31,7.5,Suburban,Yes,15422413.0
2317,5,2.3,1,6,31.1,Suburban,Yes,36599846.0
3390,6,4.1,3,30,26.9,Suburban,No,51727914.0
3801,5,4.4,2,41,9.2,Suburban,No,57476769.0
2225,4,2.9,1,33,6.1,Urban,No,35723466.0
1681,3,2.7,3,21,11.8,Urban,No,27551683.0
4373,5,3.3,1,23,14.5,Suburban,Yes,66555998.0
2334,4,2.6,2,11,9.4,Urban,Yes,38308733.0
1761,3,2.1,1,29,35.0,Urban,Yes,27257601.0
2269,4,2.2,3,10,8.8,Rural,Yes,34872651.0
548,1,1.0,3,15,29.2,Rural,Yes,8383218.0
1707,3,2.6,3,11,6.4,Suburban,Yes,27728675.0
2562,5,3.9,1,15,34.3,Urban,Yes,40622143.0
4173,7,4.1,1,16,8.7,Suburban,Yes,64144603.0
3452,3,2.4,3,3,15.3,Urban,Yes,53847918.0
3625,5,3.2,3,32,20.0,Urban,Yes,56656228.0
2679,4,2.8,1,19,5.1,Urban,Yes,43085970.0
942,1,1.0,3,42,28.8,Rural,No,12532639.0
2063,3,2.4,3,8,10.3,Rural,Yes,31575181.0
4488,7,4.6,2,30,19.7,Suburban,No,68437694.0
676,1,1.4,2,8,19.7,Urban,No,12257065.0
4016,6,4.1,1,24,21.5,Suburban,Yes,61589329.0
3237,4,2.9,1,22,2.9,Urban,Yes,50710228.0
1635,2,1.0,1,20,6.7,Rural,Yes,24880121.0
3611,7,5.0,1,29,6.5,Urban,Yes,58128560.0
3847,5,3.5,3,37,11.3,Urban,Yes,59947215.0
672,1,1.0,2,14,5.9,Suburban,No,10647283.0
925,1,1.0,3,38,32.3,Suburban,No,13589340.0
3162,6,3.5,1,8,18.4,Suburban,Yes,50357981.0
4496,7,5.0,3,13,22.2,Urban,Yes,69822274.0
595,1,1.0,1,13,13.2,Suburban,Yes,10168476.0
3162,5,2.3,3,42,10.4,Urban,No,49114349.0
1046,1,1.2,1,5,18.1,Urban,Yes,17683947.0
3100,6,3.6,1,17,11.0,Suburban,Yes,48725413.0
2993,4,3.3,1,19,12.7,Urban,No,47320087.0
861,1,1.0,3,36,16.4,Suburban,Yes,13677852.0
3222,5,3.4,1,21,18.2,Urban,Yes,51111367.0
4088,6,4.5,2,43,34.5,Urban,Yes,62526055.0
3953,7,4.1,2,33,8.6,Suburban,Yes,61143738.0
615,1,1.0,3,31,17.6,Urban,Yes,10751168.0
1483,3,1.9,2,33,6.1,Suburban,Yes,23009611.0
1463,2,1.7,1,7,12.9,Suburban,Yes,23507802.0
2313,4,1.9,2,20,25.4,Urban,No,37184000.0
1072,1,1.0,1,26,6.9,Suburban,Yes,17204406.0
3917,7,5.0,3,9,20.8,Urban,No,62127936.0
3607,4,2.3,3,5,15.2,Urban,Yes,56273236.0
3733,7,4.4,1,6,2.8,Urban,No,59382950.0
1292,3,1.0,3,35,32.7,Suburban,Yes,20313689.0
558,1,1.0,1,29,15.1,Suburban,No,9676712.0
4142,7,4.5,2,12,27.7,Suburban,Yes,64543177.0
1655,3,2.4,2,33,15.2,Rural,Yes,25511460.0
3125,6,3.5,1,31,32.9,Urban,Yes,48610518.0
4137,6,4.7,2,36,10.9,Rural,Yes,62801074.0
644,1,1.0,1,40,15.0,Suburban,No,9398922.0
521,1,1.0,3,39,26.8,Rural,No,6293225.0
521,1,1.4,3,8,12.7,Rural,No,7924041.0
1125,3,2.1,3,34,13.4,Rural,Yes,17650110.0
706,1,1.0,2,17,34.8,Urban,No,11352003.0
3779,5,3.2,2,18,19.9,Suburban,No,56844451.0
2923,5,3.9,2,29,24.4,Suburban,Yes,45105904.0
4420,7,5.0,3,27,22.9,Suburban,Yes,67862906.0
3705,6,3.5,2,18,29.1,Urban,Yes,57154518.0
4352,7,4.5,2,44,30.3,Rural,Yes,64910819.0
1454,2,1.3,2,7,20.2,Urban,Yes,23794171.0
1651,2,1.0,2,4,11.0,Suburban,No,25666013.0
3897,5,3.2,2,1,1.8,Suburban,Yes,61185902.0
1479,1,1.0,3,36,21.9,Urban,Yes,22413394.0
728,1,1.2,2,18,29.1,Suburban,Yes,10616190.0
3176,5,3.9,3,19,16.3,Urban,No,50122879.0
3703,5,3.1,3,29,6.6,Suburban,No,56877557.0
4372,4,2.5,2,19,10.8,Suburban,No,66168297.0
4211,5,3.6,3,25,18.3,Urban,Yes,64930362.0
980,2,1.0,1,2,29.4,Suburban,Yes,15250134.0
3588,5,3.5,3,7,6.8,Urban,Yes,57065108.0
3884,6,3.9,1,41,21.8,Suburban,Yes,58795690.0
3292,4,2.1,2,20,26.6,Rural,Yes,49696782.0
3779,7,4.1,1,7,32.8,Urban,Yes,59011998.0
3851,6,4.6,2,16,5.0,Suburban,No,59831567.0
2286,4,2.5,2,15,32.5,Suburban,Yes,36395938.0
660,3,2.8,3,12,21.4,Suburban,No,11737558.0
2324,5,3.0,1,13,27.1,Suburban,Yes,36612071.0
1307,2,1.4,3,32,2.8,Suburban,Yes,21480739.0
954,1,1.8,3,4,18.2,Suburban,Yes,16249731.0
999,1,1.0,2,13,22.2,Urban,Yes,16845369.0
3289,5,2.3,2,21,11.4,Urban,Yes,51818928.0
2518,4,3.2,3,24,15.7,Rural,Yes,38596750.0
2659,4,2.2,1,39,19.8,Urban,Yes,40994703.0
3480,7,4.5,3,41,19.8,Suburban,Yes,54178883.0
2693,4,2.3,1,13,2.4,Urban,Yes,44088591.0
3020,6,4.0,3,24,15.9,Suburban,No,47733007.0
844,1,1.0,1,1,8.3,Suburban,No,14070163.0
3904,7,4.5,3,27,32.2,Urban,Yes,61308723.0
2295,4,2.8,3,6,34.2,Urban,Yes,36329971.0
1120,2,1.0,1,3,11.2,Urban,Yes,19214370.0
3753,5,2.9,2,30,7.0,Rural,Yes,57169032.0
3438,5,3.1,2,8,8.5,Suburban,Yes,54297225.0
712,1,1.0,1,21,17.2,Suburban,Yes,11128710.0
1272,3,1.7,2,4,30.7,Suburban,Yes,20226985.0
562,1,1.0,3,33,18.0,Urban,No,10846619.0
1583,1,1.0,1,34,2.9,Urban,Yes,25311018.0
899,1,1.0,3,25,2.4,Urban,No,16435213.0
3339,4,2.6,3,37,8.7,Urban,Yes,52173186.0
2590,3,1.6,2,19,29.7,Suburban,Yes,39296381.0
4420,7,4.9,2,8,22.1,Rural,No,66944329.0
3497,6,4.6,2,6,20.1,Rural,Yes,54222450.0
2946,5,3.0,1,9,11.8,Rural,Yes,45838400.0
2537,2,1.5,2,9,32.6,Suburban,No,37397549.0
718,1,1.0,3,14,12.3,Urban,Yes,13051797.0
780,1,1.0,1,9,29.4,Suburban,Yes,12672985.0
2965,6,4.7,3,26,31.5,Rural,Yes,45229203.0
517,1,1.0,3,6,17.4,Suburban,Yes,9167677.0
669,1,1.0,3,27,31.4,Suburban,Yes,10913994.0
1376,3,2.2,2,15,10.4,Suburban,Yes,23125754.0
4036,7,5.0,2,30,23.4,Suburban,No,61606861.0
2335,4,2.5,2,23,4.0,Rural,Yes,36177065.0
3338,5,3.7,3,40,17.1,Suburban,Yes,50752986.0
2146,4,2.3,3,19,8.4,Urban,Yes,34793234.0
1192,2,1.0,2,13,3.1,Urban,Yes,20691674.0
